iter	Passed	Remaining
0	7	7406
1	14	7050
2	19	6629
3	26	6583
4	32	6467
5	37	6194
6	42	5992
7	48	6063
8	54	6031
9	61	6083
10	67	6042
11	73	6052
12	78	5973
13	85	6010
14	91	6034
15	98	6068
16	105	6115
17	112	6140
18	119	6163
19	126	6196
20	133	6205
21	140	6227
22	147	6258
23	154	6266
24	161	6281
25	168	6316
26	175	6322
27	182	6328
28	188	6325
29	195	6316
30	202	6320
31	208	6321
32	215	6319
33	222	6317
34	229	6318
35	236	6337
36	243	6345
37	250	6346
38	257	6342
39	264	6342
40	271	6341
41	278	6343
42	284	6342
43	292	6357
44	299	6355
45	306	6350
46	313	6348
47	320	6347
48	326	6345
49	333	6340
50	340	6336
51	347	6332
52	354	6327
53	361	6328
54	368	6327
55	375	6327
56	382	6323
57	389	6321
58	396	6322
59	403	6325
60	411	6329
61	418	6334
62	426	6336
63	433	6340
64	441	6349
65	448	6350
66	456	6351
67	463	6351
68	470	6351
69	478	6350
70	485	6348
71	492	6345
72	499	6340
73	506	6337
74	513	6332
75	520	6331
76	528	6330
77	535	6325
78	542	6322
79	549	6314
80	556	6315
81	563	6306
82	570	6303
83	577	6298
84	584	6293
85	591	6286
86	598	6283
87	606	6280
88	613	6280
89	620	6278
90	629	6283
91	637	6288
92	645	6293
93	652	6286
94	659	6284
95	667	6281
96	674	6280
97	681	6273
98	689	6273
99	696	6267
100	703	6258
101	710	6256
102	718	6254
103	725	6251
104	732	6247
105	740	6244
106	748	6244
107	755	6238
108	762	6234
109	769	6226
110	776	6220
111	783	6213
112	789	6201
113	796	6193
114	803	6186
115	811	6183
116	818	6177
117	825	6173
118	832	6166
119	839	6158
120	858	6239
121	868	6251
122	879	6273
123	888	6275
124	895	6269
125	903	6267
126	910	6259
127	918	6258
128	925	6251
129	933	6246
130	940	6235
131	947	6232
132	955	6228
133	962	6220
134	969	6214
135	976	6206
136	983	6197
137	991	6190
138	998	6182
139	1005	6178
140	1012	6167
141	1020	6164
142	1027	6158
143	1034	6151
144	1042	6144
145	1050	6143
146	1057	6137
147	1065	6131
148	1072	6127
149	1080	6123
150	1087	6115
