Split,Robustness Setting,Stacker Variant,Accuracy,Precision,Recall,F1,ROC_AUC,Inference Time (s),Avg Time / URL (s),Num Samples,saved_at,bert_architecture,Selected Meta Model Name,Selected Meta Model Dir
Test,full,4signal,1.0,1.0,1.0,1.0,1.0,285.886,14.29432,20,2026-06-03 10:14:15,bert_cv3_f3_h512_l8_a8,,
Test,no_vt,4signal,1.0,1.0,1.0,1.0,1.0,300.037,15.00185,20,2026-06-03 10:14:15,bert_cv3_f3_h512_l8_a8,,
Test,no_tranco,4signal,0.5,0.0,0.0,0.0,0.12,300.368,15.01838,20,2026-06-03 10:14:15,bert_cv3_f3_h512_l8_a8,,
Test,no_vt_no_tranco,4signal,0.5,0.0,0.0,0.0,0.12,299.731,14.98653,20,2026-06-03 10:14:15,bert_cv3_f3_h512_l8_a8,,
Test,full,4signal,0.99,0.9836065573770492,1.0,0.9917355371900828,0.975,1486.035,14.86035,100,2026-06-03 12:19:22,bert_cv3_f3_h512_l8_a8,,
Test,no_vt,4signal,0.99,0.9836065573770492,1.0,0.9917355371900828,0.975,1500.018,15.00018,100,2026-06-03 12:19:22,bert_cv3_f3_h512_l8_a8,,
Test,no_tranco,4signal,0.4,0.0,0.0,0.0,0.3508,1499.93,14.9993,100,2026-06-03 12:19:22,bert_cv3_f3_h512_l8_a8,,
Test,no_vt_no_tranco,4signal,0.4,0.0,0.0,0.0,0.3508,1500.135,15.00135,100,2026-06-03 12:19:22,bert_cv3_f3_h512_l8_a8,,
Test,full,rich,0.99,0.9836065573770492,1.0,0.9917355371900828,0.975,1486.101,14.86101,100,2026-06-03 14:00:15,bert_cv3_f3_h512_l8_a8,,
Test,no_vt,rich,0.99,0.9836065573770492,1.0,0.9917355371900828,0.975,1500.073,15.00073,100,2026-06-03 14:00:15,bert_cv3_f3_h512_l8_a8,,
Test,no_tranco,rich,0.4,0.0,0.0,0.0,0.3458,1499.811,14.99811,100,2026-06-03 14:00:15,bert_cv3_f3_h512_l8_a8,,
Test,no_vt_no_tranco,rich,0.4,0.0,0.0,0.0,0.3458,1500.374,15.00374,100,2026-06-03 14:00:15,bert_cv3_f3_h512_l8_a8,,
Test,full,4signal,0.9933333333333332,1.0,0.9887640449438202,0.9943502824858758,0.9944,14.63,0.09753,150,2026-06-07 09:14:54,bert_cv3_f3_h512_l8_a8,meta_model_4sig_all_signals_dt,data\ml_models\ablation\meta_model_4sig_all_signals_dt
Test,no_vt,4signal,0.9933333333333332,1.0,0.9887640449438202,0.9943502824858758,0.9944,13.551,0.09034,150,2026-06-07 09:14:54,bert_cv3_f3_h512_l8_a8,meta_model_4sig_all_signals_dt,data\ml_models\ablation\meta_model_4sig_all_signals_dt
Test,no_tranco,4signal,0.4066666666666667,0.0,0.0,0.0,0.5,13.884,0.09256,150,2026-06-07 09:14:54,bert_cv3_f3_h512_l8_a8,meta_model_4sig_all_signals_dt,data\ml_models\ablation\meta_model_4sig_all_signals_dt
Test,no_vt_no_tranco,4signal,0.4066666666666667,0.0,0.0,0.0,0.5,14.234,0.09489,150,2026-06-07 09:14:54,bert_cv3_f3_h512_l8_a8,meta_model_4sig_all_signals_dt,data\ml_models\ablation\meta_model_4sig_all_signals_dt
Test,full,4signal,1.0,1.0,1.0,1.0,1.0,20.208,0.13472,150,2026-06-07 20:35:02,bert_cv3_f3_h512_l8_a8,meta_model_4sig_all_signals_cb,data\ml_models\ablation\meta_model_4sig_all_signals_cb
Test,no_vt,4signal,1.0,1.0,1.0,1.0,1.0,18.305,0.12203,150,2026-06-07 20:35:02,bert_cv3_f3_h512_l8_a8,meta_model_4sig_all_signals_cb,data\ml_models\ablation\meta_model_4sig_all_signals_cb
Test,no_tranco,4signal,0.4066666666666667,0.0,0.0,0.0,0.9936,17.94,0.1196,150,2026-06-07 20:35:02,bert_cv3_f3_h512_l8_a8,meta_model_4sig_all_signals_cb,data\ml_models\ablation\meta_model_4sig_all_signals_cb
Test,no_vt_no_tranco,4signal,0.4066666666666667,0.0,0.0,0.0,0.811,17.781,0.11854,150,2026-06-07 20:35:02,bert_cv3_f3_h512_l8_a8,meta_model_4sig_all_signals_cb,data\ml_models\ablation\meta_model_4sig_all_signals_cb
Test,full,4signal,1.0,1.0,1.0,1.0,1.0,17.846,0.11897,150,2026-06-07 20:41:27,bert_cv3_f3_h512_l8_a8,meta_model_4sig_all_signals_gb,data\ml_models\ablation\meta_model_4sig_all_signals_gb
Test,no_vt,4signal,1.0,1.0,1.0,1.0,1.0,18.495,0.1233,150,2026-06-07 20:41:27,bert_cv3_f3_h512_l8_a8,meta_model_4sig_all_signals_gb,data\ml_models\ablation\meta_model_4sig_all_signals_gb
Test,no_tranco,4signal,0.4066666666666667,0.0,0.0,0.0,0.9842,18.853,0.12569,150,2026-06-07 20:41:27,bert_cv3_f3_h512_l8_a8,meta_model_4sig_all_signals_gb,data\ml_models\ablation\meta_model_4sig_all_signals_gb
Test,no_vt_no_tranco,4signal,0.4066666666666667,0.0,0.0,0.0,0.7924,18.791,0.12528,150,2026-06-07 20:41:27,bert_cv3_f3_h512_l8_a8,meta_model_4sig_all_signals_gb,data\ml_models\ablation\meta_model_4sig_all_signals_gb
