Analysis Type,Split,VT Mode,Stacker Variant,Selected Meta Model Name,Selected Meta Model Dir,Num Samples,normalization_time_s,normalization_avg_time_per_url_s,tranco_time_s,tranco_avg_time_per_url_s,vt_time_s,vt_avg_time_per_url_s,bert_time_s,bert_avg_time_per_url_s,catboost_time_s,catboost_avg_time_per_url_s,average_fusion_time_s,average_fusion_avg_time_per_url_s,final_meta_model_time_s,final_meta_model_avg_time_per_url_s,full_pipeline_time_s,full_pipeline_avg_time_per_url_s,decision_only_average_total_time_s,decision_only_average_avg_time_per_url_s,decision_only_meta_total_time_s,decision_only_meta_avg_time_per_url_s,saved_at,bert_architecture
full_pipeline_components,Test,cached,4signal,meta_model_4sig_all_signals_dt,data\ml_models\ablation\meta_model_4sig_all_signals_dt,150,0.035316,0.000235,0.001026,7e-06,0.130282,0.000869,13.47321,0.089821,0.656024,0.004373,0.001219,8e-06,0.570897,0.003806,14.870914,0.099139,,,,,2026-06-07 09:16:22,bert_cv3_f3_h512_l8_a8
decision_layer_only,Test,precomputed_states,4signal,meta_model_4sig_all_signals_dt,data\ml_models\ablation\meta_model_4sig_all_signals_dt,150,,,,,,,,,,,,,,,,,0.000991,7e-06,0.347479,0.002317,2026-06-07 09:16:22,bert_cv3_f3_h512_l8_a8
full_pipeline_components,Test,cached,4signal,meta_model_4sig_all_signals_cb,data\ml_models\ablation\meta_model_4sig_all_signals_cb,150,0.034827,0.000232,0.001678,1.1e-05,0.196584,0.001311,17.169966,0.114466,0.85074,0.005672,0.001549,1e-05,0.808118,0.005387,19.068086,0.127121,,,,,2026-06-07 20:36:48,bert_cv3_f3_h512_l8_a8
decision_layer_only,Test,precomputed_states,4signal,meta_model_4sig_all_signals_cb,data\ml_models\ablation\meta_model_4sig_all_signals_cb,150,,,,,,,,,,,,,,,,,0.002166,1.4e-05,0.601654,0.004011,2026-06-07 20:36:48,bert_cv3_f3_h512_l8_a8
full_pipeline_components,Test,cached,4signal,meta_model_4sig_all_signals_gb,data\ml_models\ablation\meta_model_4sig_all_signals_gb,150,0.042324,0.000282,0.00143,1e-05,0.182409,0.001216,16.922475,0.112817,0.86069,0.005738,0.001673,1.1e-05,0.836484,0.005577,18.851626,0.125678,,,,,2026-06-07 20:42:24,bert_cv3_f3_h512_l8_a8
decision_layer_only,Test,precomputed_states,4signal,meta_model_4sig_all_signals_gb,data\ml_models\ablation\meta_model_4sig_all_signals_gb,150,,,,,,,,,,,,,,,,,0.001196,8e-06,0.402224,0.002681,2026-06-07 20:42:24,bert_cv3_f3_h512_l8_a8
full_pipeline_components,Test,cached,4signal,meta_model_4sig_all_signals_dt,data\ml_models\ablation\meta_model_4sig_all_signals_dt,150,0.05184,0.000346,0.001377,9e-06,0.173987,0.00116,16.511173,0.110074,0.843034,0.00562,0.001469,1e-05,0.751833,0.005012,18.33891,0.122259,,,,,2026-06-07 23:08:42,bert_cv3_f3_h512_l8_a8
full_pipeline_components,Test,uncached,4signal,meta_model_4sig_all_signals_dt,data\ml_models\ablation\meta_model_4sig_all_signals_dt,150,0.004767,3.2e-05,0.001135,8e-06,2221.988819,14.813259,12.855001,0.0857,0.595295,0.003969,0.001118,7e-06,0.475507,0.00317,2235.926064,14.906174,,,,,2026-06-07 23:08:42,bert_cv3_f3_h512_l8_a8
decision_layer_only,Test,precomputed_states,4signal,meta_model_4sig_all_signals_dt,data\ml_models\ablation\meta_model_4sig_all_signals_dt,150,,,,,,,,,,,,,,,,,0.001066,7e-06,0.360895,0.002406,2026-06-07 23:08:42,bert_cv3_f3_h512_l8_a8
full_pipeline_components,Test,cached,4signal,meta_model_4sig_all_signals_cb,data\ml_models\ablation\meta_model_4sig_all_signals_cb,150,0.033856,0.000226,0.001214,8e-06,0.149972,0.001,13.055056,0.087034,0.637156,0.004248,0.001157,8e-06,0.661219,0.004408,14.542668,0.096951,,,,,2026-06-08 00:57:45,bert_cv3_f3_h512_l8_a8
full_pipeline_components,Test,uncached,4signal,meta_model_4sig_all_signals_cb,data\ml_models\ablation\meta_model_4sig_all_signals_cb,150,0.005402,3.6e-05,0.001284,9e-06,2237.627764,14.917518,12.639356,0.084262,0.604547,0.00403,0.001101,7e-06,0.552571,0.003684,2251.436278,15.009575,,,,,2026-06-08 00:57:45,bert_cv3_f3_h512_l8_a8
decision_layer_only,Test,precomputed_states,4signal,meta_model_4sig_all_signals_cb,data\ml_models\ablation\meta_model_4sig_all_signals_cb,150,,,,,,,,,,,,,,,,,0.002098,1.4e-05,0.741137,0.004941,2026-06-08 00:57:45,bert_cv3_f3_h512_l8_a8
full_pipeline_components,Test,cached,4signal,meta_model_4sig_all_signals_gb,data\ml_models\ablation\meta_model_4sig_all_signals_gb,150,0.036105,0.000241,0.001208,8e-06,0.153447,0.001023,13.888154,0.092588,0.756148,0.005041,0.00157,1e-05,1.604727,0.010698,16.444868,0.109632,,,,,2026-06-11 13:18:21,bert_cv3_f3_h512_l8_a8
full_pipeline_components,Test,uncached,4signal,meta_model_4sig_all_signals_gb,data\ml_models\ablation\meta_model_4sig_all_signals_gb,150,0.00419,2.8e-05,0.00104,7e-06,2223.538303,14.823589,11.85358,0.079024,0.56232,0.003749,0.00113,8e-06,0.48453,0.00323,2236.449363,14.909662,,,,,2026-06-11 13:18:21,bert_cv3_f3_h512_l8_a8
decision_layer_only,Test,precomputed_states,4signal,meta_model_4sig_all_signals_gb,data\ml_models\ablation\meta_model_4sig_all_signals_gb,150,,,,,,,,,,,,,,,,,0.000888,6e-06,0.310357,0.002069,2026-06-11 13:18:21,bert_cv3_f3_h512_l8_a8
