Split,Accuracy,Precision,Recall,F1,ROC_AUC,Inference Time (s),Avg Time / URL (s),Num Samples,saved_at,ensemble_type,data_type,bert_architecture,fusion_mode,Meta Model Name,Meta Model ID,Model Artifact,Evaluation Status,Evaluation Error,Train Accuracy,Train CV Accuracy,Train CV Std,Train Precision,Train Recall,Train F1-Score,Train Time (s),Train Inference Time (s),Train Saved_at,Training dataset name,Train ROC-AUC,Train Num samples in dataset,Train Note,selected_meta_model_dir,selected_stacker_variant
Validation,0.666666667,0.954545455,0.477272727,0.636363636,0.9651,1068.79,14.8443,72,4/2/2026 13:05,standard,new_data,bert_cv3_f3_h512_l8_a8,,,,,,,,,,,,,,,,,,,,,
Test,0.680555556,1.0,0.465116279,0.634920635,1.0,1773.23,24.6282,72,4/2/2026 13:35,standard,new_data,bert_cv3_f3_h512_l8_a8,,,,,,,,,,,,,,,,,,,,,
Validation,0.986111111,0.977777778,1.0,0.988764045,1.0,1052.99,14.6249,72,4/16/2026 1:16,,new_data,bert_cv3_f3_h512_l8_a8,stacking,,,,,,,,,,,,,,,,,,,,
Test,0.986111111,1.0,0.976744186,0.988235294,1.0,1066.21,14.8084,72,4/16/2026 1:34,,new_data,bert_cv3_f3_h512_l8_a8,stacking,,,,,,,,,,,,,,,,,,,,
Validation,0.666666667,0.954545455,0.477272727,0.636363636,0.9651,13.53,0.1878,72,4/16/2026 1:40,standard,new_data,bert_cv3_f3_h512_l8_a8,average,,,,,,,,,,,,,,,,,,,,
Test,0.666666667,1.0,0.441860465,0.612903226,1.0,18.07,0.251,72,4/16/2026 5:50,standard,new_data,bert_cv3_f3_h512_l8_a8,average,,,,,,,,,,,,,,,,,,,,
Validation,0.986111111,0.977777778,1.0,0.988764045,0.9984,15.06,0.2091,72,4/16/2026 19:12,,new_data,bert_cv3_f3_h512_l8_a8,stacking_4signal,,,,,,,,,,,,,,,,,,,,
Test,0.986111111,1.0,0.976744186,0.988235294,0.9767,17.69,0.2457,72,4/16/2026 19:13,,new_data,bert_cv3_f3_h512_l8_a8,stacking_4signal,,,,,,,,,,,,,,,,,,,,
Validation,0.388888889,0.0,0.0,0.0,0.9992,48.54,0.6742,72,4/16/2026 19:21,,new_data,bert_crossval_best_h128_l4_a4,stacking_4signal,,,,,,,,,,,,,,,,,,,,
Test,0.402777778,0.0,0.0,0.0,1.0,44.87,0.6232,72,4/16/2026 19:22,,new_data,bert_crossval_best_h128_l4_a4,stacking_4signal,,,,,,,,,,,,,,,,,,,,
Validation,0.388888889,0.0,0.0,0.0,1.0,44.95,0.6244,72,4/16/2026 19:24,,new_data,bert_crossval_best_h128_l4_a4,stacking_rich,,,,,,,,,,,,,,,,,,,,
Test,0.402777778,0.0,0.0,0.0,1.0,47.04,0.6533,72,4/16/2026 19:25,,new_data,bert_crossval_best_h128_l4_a4,stacking_rich,,,,,,,,,,,,,,,,,,,,
Validation,0.986111111,0.977777778,1.0,0.988764045,1.0,17.08,0.2372,72,4/16/2026 19:33,,new_data,bert_cv3_f3_h512_l8_a8,stacking_rich,,,,,,,,,,,,,,,,,,,,
Test,0.986111111,1.0,0.976744186,0.988235294,1.0,17.25,0.2396,72,4/16/2026 19:34,,new_data,bert_cv3_f3_h512_l8_a8,stacking_rich,,,,,,,,,,,,,,,,,,,,
Validation,0.666666667,0.954545455,0.477272727,0.636363636,0.9651,0.0,0.0,72,4/22/2026 2:15,standard,new_data,bert_cv3_f3_h512_l8_a8,average,Standard Average Ensemble,,,success,,,,,,,,,,,,,,,,
Validation,1.0,1.0,1.0,1.0,1.0,0.308,0.00427,72,4/22/2026 2:15,,new_data,bert_cv3_f3_h512_l8_a8,stacking_4signal,CatBoost Classifier,meta_model_4signal_cb_v1,data\ml_models\meta_model_4signal_cb_v1\meta_model.pkl,success,,0.994111534,0.993170668,0.002947739,0.991433467,0.998849252,0.995127544,4.401,0.007,4/19/2026 4:25,data/results/stacker_training_features_4signal.csv,0.99807107,9623.0,,,
Validation,1.0,1.0,1.0,1.0,1.0,0.247,0.00343,72,4/22/2026 2:15,,new_data,bert_cv3_f3_h512_l8_a8,stacking_4signal,Decision Tree,meta_model_4signal_dt_v1,data\ml_models\meta_model_4signal_dt_v1\meta_model.pkl,success,,0.990994112,0.989608185,0.003149308,0.988584475,0.996547756,0.992550143,0.017,0.004,4/19/2026 4:25,data/results/stacker_training_features_4signal.csv,0.987359048,9623.0,,,
Validation,1.0,1.0,1.0,1.0,1.0,0.342,0.00475,72,4/22/2026 2:15,,new_data,bert_cv3_f3_h512_l8_a8,stacking_4signal,Gradient Boosting,meta_model_4signal_gb_v1,data\ml_models\meta_model_4signal_gb_v1\meta_model.pkl,success,,0.994111534,0.993170889,0.001719216,0.991433467,0.998849252,0.995127544,0.497,0.005,4/19/2026 4:25,data/results/stacker_training_features_4signal.csv,0.996965891,9623.0,,,
Validation,0.958333333,0.936170213,1.0,0.967032967,1.0,1.711,0.02377,72,4/22/2026 2:15,,new_data,bert_cv3_f3_h512_l8_a8,stacking_4signal,K Nearest Neighbors,meta_model_4signal_knn_v1,data\ml_models\meta_model_4signal_knn_v1\meta_model.pkl,success,,0.98926221,0.988420581,0.002420804,0.984667802,0.997698504,0.991140326,0.011,0.033,4/19/2026 4:25,data/results/stacker_training_features_4signal.csv,0.991833595,9623.0,,,
Validation,1.0,1.0,1.0,1.0,1.0,0.546,0.00759,72,4/22/2026 2:15,,new_data,bert_cv3_f3_h512_l8_a8,stacking_4signal,LightGBM,meta_model_4signal_lgbm_v1,data\ml_models\meta_model_4signal_lgbm_v1\meta_model.pkl,success,,0.993418774,0.993764801,0.003340011,0.990862364,0.998273878,0.994554314,0.138,0.017,4/19/2026 4:25,data/results/stacker_training_features_4signal.csv,0.998492961,9623.0,,,
Validation,0.986111111,0.977777778,1.0,0.988764045,0.9992,0.262,0.00364,72,4/22/2026 2:15,,new_data,bert_cv3_f3_h512_l8_a8,stacking_4signal,Logistic Regression,meta_model_4signal_lr_v1,data\ml_models\meta_model_4signal_lr_v1\meta_model.pkl,success,,0.98926221,0.988866015,0.001325939,0.984117981,0.998273878,0.991145387,0.016,0.003,4/19/2026 4:25,data/results/stacker_training_features_4signal.csv,0.992272262,9623.0,,,
