bert_score,cb_benign_prob,vt_detection_rate,vt_malicious_count,vt_suspicious_count,vt_total_engines,in_tranco,tranco_score,tranco_rank,bert_error,catboost_error,vt_error,tranco_error,url,label
0.0027,0.010278287163869696,0.0,0,0,94,1,0.9857,14346.0,0,0,0,0,https://acompli.net,1
0.0212,0.0037336514424861408,0.0,0,0,95,1,0.9987,1320.0,0,0,0,0,https://volcgslb.com,1
0.0016,0.0005792330206473565,0.0258,2,1,97,0,0.5,,0,0,0,1,http://218.61.97.104:46520/i,0
0.0008,0.001107605576393749,0.0,0,0,94,1,0.9868,13170.0,0,0,0,0,https://swi-rc.com,1
0.0026,0.018876668420448203,0.0,0,0,95,1,0.9945,5505.0,0,0,0,0,https://band.us,1
0.0145,0.014745138464047286,0.0,0,0,95,1,0.9834,16620.0,0,0,0,0,https://kantimehealth.net,1
0.0006,0.00022569525407668985,0.0,0,0,95,1,0.9898,10221.0,0,0,0,0,https://jav24hd.bio,1
0.001,0.00031095612184713734,0.1173,11,1,98,0,0.5,,0,0,0,1,http://219.155.130.241:46709/i,0
0.0053,0.008751117086519778,0.0,0,0,95,1,0.9982,1822.0,0,0,0,0,https://msauth.net,1
0.0007,0.0003297874561320374,0.148,13,3,98,0,0.5,,0,0,0,1,http://123.5.148.197:41289/bin.sh,0
0.011,0.00525741188571309,0.0,0,0,95,1,0.9927,7283.0,0,0,0,0,https://pdffiller.com,1
0.0131,0.000347922144509742,0.1786,16,3,98,0,0.5,,0,0,0,1,http://130.12.180.127/dlr.sh4,0
0.0055,0.005976588609899193,0.1804,17,1,97,0,0.5,,0,0,0,1,http://130.12.180.76/bins/parm5,0
0.0075,0.0005403219957467905,0.1684,16,1,98,0,0.5,,0,0,0,1,http://84.247.129.206/arm5,0
0.0007,0.0013428965716196623,0.0408,4,0,98,0,0.5,1000001.0,0,0,0,0,https://drift.clears0ft.ru/5qzyq04g,0
0.0011,0.0005238416901137168,0.1531,14,2,98,0,0.5,,0,0,0,1,http://42.57.250.78:34957/i,0
0.001,0.004541787906890725,0.0,0,0,95,1,0.9799,20105.0,0,0,0,0,https://zorvian.com,1
0.0952,0.01735133776877222,0.0,0,0,95,1,0.9996,405.0,0,0,0,0,https://wp.com,1
0.0033,0.006326961509938577,0.0,0,0,95,1,0.9916,8386.0,0,0,0,0,https://absher.sa,1
0.0019,0.004644450193852254,0.0918,8,2,98,0,0.5,1000001.0,0,0,0,0,https://mist.f0xwave.ru/hfm9mcoc,0
