bert_score,cb_score,vt_score,tranco_score,url,label
0.0027,0.010278287,1.0,0.9857,https://acompli.net,1
0.0212,0.003733651,1.0,0.9987,https://volcgslb.com,1
0.0016,0.000579233,0.9742,0.5,http://218.61.97.104:46520/i,0
0.0008,0.001107606,1.0,0.9868,https://swi-rc.com,1
0.0026,0.018876668,1.0,0.9945,https://band.us,1
0.0145,0.014745138,1.0,0.9834,https://kantimehealth.net,1
0.0006,0.000225695,1.0,0.9898,https://jav24hd.bio,1
0.001,0.000310956,0.8827,0.5,http://219.155.130.241:46709/i,0
0.0053,0.008751117,1.0,0.9982,https://msauth.net,1
0.0007,0.000329787,0.852,0.5,http://123.5.148.197:41289/bin.sh,0
0.011,0.005257412,1.0,0.9927,https://pdffiller.com,1
0.0131,0.000347922,0.8214,0.5,http://130.12.180.127/dlr.sh4,0
0.0055,0.005976589,0.8196,0.5,http://130.12.180.76/bins/parm5,0
0.0075,0.000540322,0.8316,0.5,http://84.247.129.206/arm5,0
0.0007,0.001342897,0.9592,0.5,https://drift.clears0ft.ru/5qzyq04g,0
0.0011,0.000523842,0.8469,0.5,http://42.57.250.78:34957/i,0
0.001,0.004541788,1.0,0.9799,https://zorvian.com,1
0.0952,0.017351338,1.0,0.9996,https://wp.com,1
0.0033,0.006326962,1.0,0.9916,https://absher.sa,1
0.0019,0.00464445,0.9082,0.5,https://mist.f0xwave.ru/hfm9mcoc,0
0.0087,0.001187388,0.8,0.5,http://41.231.37.153/rondo.i486,0
0.0023,0.001717439,1.0,0.9881,https://infeng.site,1
0.0044,0.008825872,1.0,0.9916,https://bancoestado.cl,1
0.0007,0.003832659,0.8776,0.5,http://130.12.180.43/files/8278288380/yh0uuHQ.exe,0
0.0117,0.005890745,1.0,0.9847,https://caracoltv.com,1
0.0006,0.000698655,0.8724000000000001,0.5,https://pivot8.ch0reo8fin.ru/yajtd0q0,0
0.982,0.346587109,0.8842,0.5,https://files.stample.com/browserUpload/e62812c5-bd16-4145-ba14-acf3ed039884,0
0.0009,0.000219371,0.8827,0.5,http://125.44.194.128:47070/bin.sh,0
0.0008,0.004535241,1.0,0.9958,https://zebra.com,1
0.001,0.010057308,0.8776,0.5,http://134.195.137.84/bins/pmips,0
0.0042,0.005764555,1.0,0.9889,https://calltouch.ru,1
0.0011,0.003464247,0.8009999999999999,0.5,http://178.16.55.189/files/8007196139/MRwOmgy.exe,0
0.0015,0.011937371,1.0,0.9914,https://w-x.co,1
0.0007,0.022325478,0.8571,0.5,https://4p9.sn1pixel.ru/blfngv83,0
0.0023,0.00937391,1.0,0.9806,https://transfermarkt.it,1
0.0008,0.00076592,0.8776,0.5,https://89pdo.kettlewisp.ru/9zron7cr,0
0.0046,0.006810524,1.0,0.9778,https://rootcanary.net,1
0.0036,0.004535139,1.0,0.9912,https://dedeman.ro,1
0.003,0.007917333,1.0,0.9917,https://bain.com,1
0.6367,0.154077035,0.9337,0.5,http://www.id888.pw/Mddos/Mddos.mpsl,0
0.0013,0.000252811,0.9898,0.5,http://112.248.26.115:36609/i,0
0.0048,0.002448616,1.0,0.9776,https://emisoras.com.mx,1
0.0099,0.010389265,1.0,0.9823,https://snapcraftcontent.com,1
0.0006,0.005399719,1.0,0.9974,https://vscode-cdn.net,1
0.0085,0.007522586,1.0,0.9819,https://newsroomlabs.com,1
0.0013,0.004535241,1.0,0.979,https://gifyu.com,1
0.0156,0.00312909,1.0,0.9961,https://llamarpc.com,1
0.0007,0.001032349,1.0,0.9776,https://51y5.net,1
0.0016,0.000319505,0.8163,0.5,http://110.37.76.148:43997/i,0
0.0006,0.00140973,1.0,0.9824,https://bet30.space,1
0.0032,0.295396784,1.0,0.9865,https://hrsa.gov,1
0.0117,0.00080962,0.8125,0.5,http://130.12.180.64/to,0
0.0021,0.004541788,1.0,0.9951,https://fastcgi.com,1
0.0009,0.001929166,0.9894,0.9794,https://mypep.link,1
0.0041,0.004541788,1.0,0.9896,https://yeastar.com,1
0.0117,0.093653201,1.0,0.998,https://www.nhs.uk,1
0.0008,0.004813975,1.0,0.985,https://tcsbank.ru,1
0.003,0.006394421,1.0,0.9908,https://google.com.bz,1
0.0009,0.000320683,0.8622,0.5,http://42.180.15.75:55666/i,0
